key	at	outcome	note
bamboohr:luxuriavacations	2026-08-03T00:03:20.085Z	unknown	Tenant exists but careers portal is disabled: /careers and /careers/list 302 to luxuriavacations.bamboohr.com/login.php. luxuriavacations.com is live (exact slu
bamboohr:mbh	2026-08-03T00:03:20.085Z	unknown	BambooHR account is suspended, not deleted: /careers and /careers/list redirect to mbh.bamboohr.com/settings/account/temporarily_suspended. A lapsed ATS subscri
greenhouse:runpod	2026-08-03T00:04:27.832Z	relocated	Greenhouse slug 404s; Ashby board returns 23 jobs incl. both known titles verbatim (Senior Software Engineer (Cloud), Senior Procurement Officer (Supply, Cloud 
greenhouse:fireworksai	2026-08-03T00:04:27.832Z	relocated	Greenhouse slug 404s; Ashby board returns 46 jobs using Fireworks' MTS/Member of Technical Staff naming
bamboohr:brankas	2026-08-03T00:04:28.067Z	unknown	in progress
bamboohr:brightsun	2026-08-03T00:04:28.067Z	unknown	in progress
bamboohr:cience	2026-08-03T00:04:28.067Z	unknown	in progress
bamboohr:cnhf	2026-08-03T00:04:28.067Z	unknown	in progress
bamboohr:codeverse	2026-08-03T00:04:28.067Z	unknown	in progress
bamboohr:cpkn	2026-08-03T00:04:28.067Z	unknown	in progress
bamboohr:dynasty	2026-08-03T00:04:28.067Z	unknown	in progress
bamboohr:earnedwealth	2026-08-03T00:04:28.067Z	unknown	in progress
bamboohr:efea	2026-08-03T00:04:28.277Z	unknown	Bare ATS slug with no known_titles and no previously-seen postings; nothing to identify the employer from. Tenant exists but /careers 302s to login.php (public 
bamboohr:eldorado	2026-08-03T00:04:28.277Z	unknown	/careers 302s to www.bamboohr.com, i.e. the tenant is no longer provisioned. But 'eldorado' is a generic name (dozens of unrelated companies) with no known_titl
bamboohr:elements	2026-08-03T00:04:28.277Z	unknown	Probe state 'gone' confirmed: /careers 302s to www.bamboohr.com (account expired). 'elements' is a generic slug matching many unrelated companies and there are 
bamboohr:els	2026-08-03T00:04:28.277Z	unknown	Tenant live but careers portal disabled (302 to login.php, empty /careers/list). Three-letter generic slug, no titles, no posting history — unidentifiable emplo
bamboohr:epts	2026-08-03T00:04:28.277Z	unknown	Tenant live but careers portal disabled (302 to login.php, empty /careers/list). Acronym slug with no distinguishing titles; multiple unrelated candidate orgs, 
bamboohr:esha	2026-08-03T00:04:28.277Z	unknown	Tenant live but careers portal disabled (302 to login.php, empty /careers/list). Slug alone is not sufficient identification and no known_titles exist to confir
bamboohr:esl	2026-08-03T00:04:28.277Z	unknown	Tenant live but careers portal disabled (302 to login.php, empty /careers/list). 'esl' is both a generic acronym and a common industry term; no titles or histor
bamboohr:espace	2026-08-03T00:04:28.277Z	unknown	Tenant live but careers portal disabled (302 to login.php, empty /careers/list). Generic slug, no known_titles, no previously-seen postings; employer unidentifi
bamboohr:estella	2026-08-03T00:04:28.515Z	unknown	BambooHR tenant exists but /careers/list 302s to settings/account/temporarily_suspended (account suspended, public board disabled). Slug 'estella' matches no si
bamboohr:fastpath	2026-08-03T00:04:28.515Z	unknown	BambooHR tenant exists but /careers/list 302s to login.php (public careers portal disabled). Generic slug, no known_titles or prior postings, so identity unconf
bamboohr:fell	2026-08-03T00:04:28.515Z	unknown	BambooHR tenant exists but /careers/list 302s to login.php (public board disabled). Slug is a common word with no known_titles or prior postings to identify the
bamboohr:fido	2026-08-03T00:04:28.515Z	unknown	Subdomain fido.bamboohr.com does not resolve to a tenant — /careers/list 302s to www.bamboohr.com, the same response as a nonexistent account, so this entry was
bamboohr:fishingbooker	2026-08-03T00:04:28.515Z	unknown	Subdomain does not resolve to a BambooHR tenant (302 to www.bamboohr.com), so no board to repair. FishingBooker (fishing-charter marketplace, Belgrade) is alive
bamboohr:fortress	2026-08-03T00:04:28.515Z	unknown	BambooHR tenant exists but /careers/list 302s to login.php (public board disabled). 'Fortress' collides across many employers (Fortress Investment Group, Fortre
bamboohr:fueled	2026-08-03T00:04:28.515Z	unknown	Subdomain does not resolve to a BambooHR tenant (302 to www.bamboohr.com). Fueled (NYC app/product agency) is actively hiring — fueled.com/careers lists ~10 rol
bamboohr:gam	2026-08-03T00:04:28.515Z	unknown	BambooHR tenant exists but /careers/list 302s to login.php (public board disabled). Three-letter slug with no known_titles or prior postings; matches no identif
bamboohr:gardenhouse	2026-08-03T00:04:28.755Z	unknown	BambooHR careers/list 302s to login.php (private/suspended account). No known_titles, no prior postings, no fit signal. Slug 'gardenhouse' matches no identifiab
bamboohr:gdah	2026-08-03T00:04:28.755Z	unknown	careers/list 302s to login.php. No titles or posting history. Closest domain match gdah.org exists but has no careers/jobs links at all and nothing ties it to t
bamboohr:gegac	2026-08-03T00:04:28.755Z	unknown	careers/list 302s to www.bamboohr.com (tenant gone or careers portal disabled). No titles. Nearest known org is GECAC (Greater Erie Community Action Committee, 
bamboohr:getflex	2026-08-03T00:04:28.755Z	relocated	getflex.com/company/careers loads its openings from boards-api.greenhouse.io/v1/boards/flex/jobs. Verified: that board returns 51 live jobs and the JD copy self
bamboohr:grandturkcruisecenter	2026-08-03T00:04:28.755Z	unknown	careers/list 302s to www.bamboohr.com. Likely Grand Turk Cruise Center (grandturkcc.com now redirects to grandturkport.com, which has a /careers/ page), but tha
bamboohr:gtd	2026-08-03T00:04:28.755Z	unknown	careers/list 302s to login.php. No titles. gtd.com is a live org whose /employment/ page hires via ADP recruitment (not a supported provider), but nothing conne
bamboohr:guidance	2026-08-03T00:04:28.755Z	unknown	Probe URL itself carries r=/settings/account/temporarily_suspended, i.e. the BambooHR account is suspended rather than the company necessarily being gone. guida
bamboohr:hbm	2026-08-03T00:04:28.755Z	unknown	careers/list 302s to www.bamboohr.com. Three-letter slug with no titles. hbm.com redirects careers to hbkworld.com (HBM was absorbed into HBK/Hottinger Bruel & 
bamboohr:inmoment	2026-08-03T00:04:28.981Z	relocated	InMoment (CX/XI software) careers page links Pinpoint board; verified title 'Jobs at InMoment | InMoment Careers' and jobs.rss channel 'Careers at InMoment'. Bo
bamboohr:kcfa	2026-08-03T00:04:29.231Z	unknown	BambooHR tenant kcfa still exists but careers portal is disabled: /careers and /careers/list both 302 to kcfa.bamboohr.com/login.php. No known_titles, no previo
bamboohr:kiverdi	2026-08-03T00:04:29.231Z	unknown	Company is alive: kiverdi.com loads (Kiverdi, Inc., carbon-transformation biotech; brands Air Protein, Revive Soil, CO2 Aquafeed). But the BambooHR tenant is go
bamboohr:koko	2026-08-03T00:04:29.231Z	relocated	Koko (kokocares.org, mental-health nonprofit) moved off BambooHR - koko.bamboohr.com/careers now 302s to www.bamboohr.com root (tenant deleted). Its own site li
bamboohr:ldsk	2026-08-03T00:04:29.231Z	unknown	BambooHR account is suspended, not deleted: /careers and /careers/list redirect to ldsk.bamboohr.com/settings/account/temporarily_suspended. A suspended ATS sub
bamboohr:lng	2026-08-03T00:04:29.231Z	unknown	Tenant exists but careers portal is off: /careers and /careers/list 302 to lng.bamboohr.com/login.php. 'lng' is a generic three-letter slug (liquefied natural g
bamboohr:logically	2026-08-03T00:04:29.231Z	unknown	Company is alive: logically.ai loads and now operates as Kreatur Limited (narrative decision-intelligence software: Logically Intelligence, PRISM-alpha) followi
bamboohr:luxuriavacations	2026-08-03T00:04:29.231Z	unknown	Tenant exists but careers portal is disabled: /careers and /careers/list 302 to luxuriavacations.bamboohr.com/login.php. luxuriavacations.com is live (exact slu
bamboohr:mbh	2026-08-03T00:04:29.231Z	unknown	BambooHR account is suspended, not deleted: /careers and /careers/list redirect to mbh.bamboohr.com/settings/account/temporarily_suspended. A lapsed ATS subscri
bamboohr:aai	2026-08-03T00:05:25.554Z	unknown	aai.bamboohr.com tenant is suspended (/careers/list 302s to settings/account/suspended). Slug 'aai' is a three-letter initialism matching many organizations (aa
bamboohr:adquadrant	2026-08-03T00:05:25.554Z	relocated	Company is adQuadrant (commerce/performance-marketing agency, adquadrant.com) — confirmed alive. Old tenant adquadrant.bamboohr.com no longer resolves as a tena
bamboohr:alden	2026-08-03T00:05:25.554Z	unknown	alden.bamboohr.com tenant still exists but the public careers portal is disabled (/careers/list 302s to login.php). No known_titles or posting history. Candidat
bamboohr:alluvium	2026-08-03T00:05:25.554Z	unknown	alluvium.bamboohr.com tenant is expired/removed (302s to www.bamboohr.com). Multiple unrelated 'Alluvium' companies exist (alluvium.com Alluvium Group, alluvium
bamboohr:ampler	2026-08-03T00:05:25.554Z	unknown	ampler.bamboohr.com tenant is suspended (302s to settings/account/suspended). Candidates include Ampler Restaurant Group (ampler.one) and Ampler Bikes; neither 
bamboohr:arclabs	2026-08-03T00:05:25.554Z	unknown	arclabs.bamboohr.com tenant exists but its public careers portal is disabled (302s to login.php). 'Arc Labs' is ambiguous: arclabs.com redirects to arclabs.edu 
bamboohr:atlascloud	2026-08-03T00:05:25.554Z	unknown	atlascloud.bamboohr.com tenant exists but its careers portal is disabled (302s to login.php). atlascloud.com does not resolve; atlascloud.io (Atlas Cloud, deskt
bamboohr:barrick	2026-08-03T00:05:25.554Z	unknown	barrick.bamboohr.com tenant is expired/removed (302s to www.bamboohr.com). Name collision risk is high: barrick.com is Barrick Mining (Cloudflare-protected, ent
greenhouse:apr	2026-08-03T00:06:24.040Z	relocated	apriori.com/careers links a Paylocity board; NO paylocity provider exists so this is recorded but unscannable
greenhouse:qcentrix	2026-08-03T00:06:24.040Z	relocated	Q-Centrix absorbed into MRO; q-centrix.com 301s to mrocorp.com, board lists 'Data Abstraction & Quality (formerly Q-Centrix)'. NO icims provider exists
greenhouse:wyndlabs	2026-08-03T00:10:49.793Z	relocated	Greenhouse slug 404s. Ashby board 'wynd-labs' verified live via ApiJobBoardWithTeams GraphQL: returns postings under org name Wynd Labs incl. Machine Learning E
greenhouse:xhiring	2026-08-03T00:10:49.793Z	unknown	Registry name 'Wynd Labs - X Hiring' and known_titles are identical to greenhouse:wyndlabs, so this is almost certainly a duplicate entry for the same employer 
greenhouse:apr	2026-08-03T00:10:49.793Z	relocated	apriori.com/careers links this Paylocity board; verified live, many openings incl. several Belfast UK engineering roles and a Data Platform Team engineer. NOTE:
greenhouse:flyflat	2026-08-03T00:10:49.793Z	unknown	flyflat.com now 301s to joinascend.com (luxury flight booking, same business model), suggesting a rebrand to Ascend, but the Ascend site carries no careers page
greenhouse:qcentrix	2026-08-03T00:10:49.793Z	relocated	q-centrix.com/careers redirects to mrocorp.com/careers/; MRO's own site labels its Data Abstraction & Quality line 'Formerly Q-Centrix'. Acquirer's iCIMS board 
greenhouse:thrivecart	2026-08-03T00:10:49.793Z	unknown	Greenhouse board 'thrivecart' 404s, yet thrivecart.com's homepage still links to https://job-boards.greenhouse.io/thrivecart - the site simply has not been upda
greenhouse:govini	2026-08-03T00:13:49.054Z	relocated	Govini rebranded to Air: govini.com 301s to air.ai and the site carries a 'Govini is now Air' banner (LinkedIn: air-enterprise-readiness, X handle still @Govini
greenhouse:fal	2026-08-03T00:13:49.054Z	relocated	Moved Greenhouse -> Ashby, slug 'fal-ai'. api.ashbyhq.com/posting-api/job-board/fal-ai returns 30 jobs (SF + remote); JD text confirms 'fal is the generative me
greenhouse:interfaceai	2026-08-03T00:13:49.054Z	relocated	Moved Greenhouse -> Ashby, slug 'interface-ai'. 24 jobs; JD copy: 'interface.ai is redefining how financial institutions serve their members through agentic AI'
greenhouse:expressvpn	2026-08-03T00:13:49.054Z	relocated	expressvpn.com/jobs/job-openings now renders a Deel HR board; every apply link is jobs.deel.com/expresspn/job-details/<uuid> (the 'expresspn' typo is theirs). ~
greenhouse:ibkr	2026-08-03T00:13:49.054Z	relocated	interactivebrokers.com/en/general/about/careers-splash.php (the only careers link on their homepage) points to Ceridian Dayforce tenant 'ibgllc' = Interactive B
greenhouse:galileofinancialtechnologies	2026-08-03T00:13:49.054Z	defunct	Absorbed into SoFi: galileo-ft.com and galileo-ft.com/careers both 301 to tech.sofi.com - the entire Galileo web presence now redirects to SoFi's tech site, and
greenhouse:capitalrx	2026-08-03T00:14:03.732Z	relocated	Capital Rx rebranded to Judi Health; Greenhouse slug moved capitalrx -> judihealth. Verified boards-api.greenhouse.io/v1/boards/judihealth/jobs returns 200 with
greenhouse:climateai	2026-08-03T00:14:03.732Z	defunct	climateai.com is a parked domain: www.climateai.com 307-redirects to forsale.godaddy.com (listed for sale) and /careers is a 114-byte JS stub to /lander. Greenh
greenhouse:aiserajobs	2026-08-03T00:14:03.732Z	unknown	Aisera is alive (aisera.com careers page live, lists Engineering/AI-ML categories) but its own 'View open roles' button still points at https://job-boards.green
greenhouse:boldbusiness	2026-08-03T00:14:03.732Z	unknown	Bold Business site is live; its careers page 'Apply Now' links still point at https://job-boards.greenhouse.io/boldbusiness, which 404s. No board found under bo
greenhouse:boltv2	2026-08-03T00:14:03.732Z	unknown	Identity ambiguous between Bolt Technology OU (bolt.eu, ride-hailing) and Bolt Financial (bolt.com); no known_titles to disambiguate. bolt.eu runs an in-house c
greenhouse:credera	2026-08-03T00:14:03.732Z	unknown	Credera is alive (credera.com, Omnicom-owned) and now lists roles on its own site at https://www.credera.com/en-us/careers/jobs, a Gatsby page that renders jobs
greenhouse:redpandadata	2026-08-03T05:52:56.644Z	relocated	redpanda.com/jobs sets ASHBY_BOARD='redpanda-data'; Ashby posting-api returns live jobs (e.g. Forward Deployed Engineer - US) with jobUrl under jobs.ashbyhq.com
greenhouse:pineparkhealth	2026-08-03T05:52:56.644Z	relocated	pineparkhealth.com/careers embeds Rippling job board with data-job-board-id="pineparkhealth"; ats.rippling.com/pineparkhealth/jobs returns 200 with 17 openings 
greenhouse:vannahealth	2026-08-03T05:52:56.644Z	relocated	Company moved to vanna.health (vannahealth.com no longer resolves). vanna.health/work-with-us links jobs.ashbyhq.com/vanna-health-inc; Ashby API returns 6 openi
greenhouse:truework	2026-08-03T05:52:56.644Z	relocated	truework.com/careers states 'Truework is now part of Checkr' and its only apply link is checkr.com/company/careers, which renders a Greenhouse block. boards-api
lever:livechatinc	2026-08-03T05:52:56.644Z	relocated	LiveChat rebranded to Text. text.com/careers lists exactly the same 5 roles (Backend Engineer - Configuration Team, Cloud Alliance Manager, Growth Marketer, Sen
rippling:plenful	2026-08-03T05:52:56.644Z	relocated	plenful.com/careers redirects to /company which links jobs.ashbyhq.com/plenful; Ashby API returns 20 jobs incl. Staff Software Engineer and Senior Software Engi
greenhouse:shift4	2026-08-03T05:52:56.644Z	unknown	shift4.com is behind a Vercel security checkpoint returning 429 to every fetch (curl and WebFetch, all UAs), so the careers page could not be read. No greenhous
greenhouse:omguk	2026-08-03T05:52:56.644Z	unknown	Omnicom Media UK. omnicommedia.com/uk points careers at omgukcareers.com, which returns HTTP 500 (WordPress fatal error) on / and /search-and-apply/ across repe
greenhouse:neysanetwork	2026-08-03T05:52:56.644Z	unknown	Neysa (neysa.ai) is alive and hiring - neysa.ai/careers/job-openings/ lists ~12 open roles incl. Backend Engineer and System Engineer L2/L3. But the board is se
recruitee:netdata	2026-08-03T05:52:56.644Z	unknown	Netdata alive and states it is hiring (netdata.cloud/join-us/, '75-person team'), but its own 'View Open Positions' button still points at netdata.recruitee.com
recruitee:scrumsdotcom	2026-08-03T05:52:56.644Z	unknown	Scrums.com alive and hiring - scrums.com/careers lists 10 roles (Principal Software Engineer Remote, Senior Data Engineer Johannesburg, etc.) on a self-hosted A
rippling:liven	2026-08-03T05:52:56.644Z	unknown	Liven (liven.love, hospitality POS, AU) still embeds a Rippling board with data-job-board-id="liven", but both ats.rippling.com/liven/jobs and the Rippling boar
greenhouse:thirtymadison	2026-08-03T05:52:56.644Z	unknown	Thirty Madison / Remedy Meds both still operating (thirtymadison.com and remedymeds.com live, 2026 content). Greenhouse slug thirtymadison 404; no ashby/lever/r
greenhouse:paymenttools	2026-08-03T05:52:56.644Z	unknown	paymenttools (REWE Group, Cologne) alive. Its career page paymenttools.com/career-people/ still links boards.greenhouse.io/paymenttoolsen/jobs/1234567 - a place
greenhouse:uplifterusa	2026-08-03T05:52:56.644Z	unknown	Could not establish which employer 'uplifterusa' is - no known_titles to search on, uplifterusa.com does not resolve. The similarly named uplifterinc.com exists
greenhouse:liminalbuild	2026-08-03T05:52:56.644Z	unknown	No known_titles. liminalbuild.com 404s; liminal.build resolves to a site titled 'Home - Liminal' with no careers/jobs page at all and no way to confirm it is th
